Samples,timestamp,Roll,Pitch,Yow,X,Y,Z,RSSI,Distance
1001,53:11.6,-0.04,0.03,0.01,0.49,-0.15,10.91,-52,5.047917354
1002,53:11.6,-0.04,0.03,0.01,0.56,-0.15,10.89,-52,5.047917354
1003,53:11.7,-0.02,0.15,-0.5,1.78,1.12,10.72,-52,5.047917354
1004,53:11.8,-0.23,0.13,-1.45,-0.59,-0.37,11.23,-52,5.047917354
1005,53:11.8,-0.14,0.07,-0.77,-0.04,-1.87,11.1,-52,5.047917354
1006,53:11.9,-0.05,0.05,-0.24,0.31,-1.01,10.99,-52,5.047917354
1007,53:11.9,-0.04,0.04,-0.01,0.46,-0.36,10.92,-52,5.047917354
1008,53:12.8,-0.03,0.03,0.01,0.45,-0.15,10.88,-52,5.047917354
1009,53:12.6,-0.04,0.03,0.01,0.45,-0.18,10.9,-52,5.047917354
1010,53:12.1,-0.04,0.03,0.02,0.46,-0.23,10.92,-52,5.047917354
1011,53:12.2,-0.04,0.03,0.02,0.45,-0.21,10.91,-51,4.801727519
1012,53:12.2,-0.04,0.03,0.01,0.45,-0.18,10.9,-51,4.801727519
1013,53:12.3,-0.04,0.03,0.01,0.45,-0.19,10.9,-51,4.801727519
1014,53:12.4,-0.04,0.03,0.01,0.45,-0.18,10.9,-51,4.801727519
